iter	Passed	Remaining
0	211	20945
1	306	15034
2	394	12739
3	464	11159
4	549	10438
5	612	9590
6	687	9133
7	750	8630
8	832	8416
9	902	8121
10	967	7826
11	1031	7562
12	1098	7352
13	1163	7149
14	1254	7110
15	1330	6985
16	1388	6781
17	1452	6619
18	1523	6496
19	1605	6422
20	1667	6274
21	1739	6168
22	1808	6052
23	1879	5952
24	1962	5888
25	2042	5812
26	2100	5678
27	2161	5557
28	2228	5456
29	2299	5365
30	2372	5280
31	2449	5205
32	2512	5101
33	2573	4996
34	2649	4920
35	2729	4853
36	2783	4739
37	2854	4657
38	2921	4569
39	2980	4471
40	3059	4402
41	3146	4344
42	3221	4270
43	3290	4188
44	3357	4103
45	3411	4004
46	3494	3940
47	3568	3865
48	3651	3800
49	3726	3726
50	3791	3642
51	3879	3581
52	3954	3506
53	4015	3420
54	4079	3337
55	4150	3261
56	4229	3190
57	4320	3128
58	4391	3051
59	4451	2967
60	4516	2887
61	4589	2812
62	4649	2730
63	4728	2659
64	4764	2565
65	4795	2470
66	4827	2377
67	4868	2290
68	4917	2209
69	4989	2138
70	5070	2071
71	5114	1989
72	5168	1911
73	5219	1833
74	5274	1758
75	5349	1689
76	5410	1616
77	5463	1541
78	5657	1503
79	5876	1469
80	5916	1387
81	5953	1306
82	5991	1227
83	6045	1151
84	6115	1079
85	6171	1004
86	6234	931
87	6305	859
88	6380	788
89	6452	716
90	6503	643
91	6571	571
92	6633	499
93	6693	427
94	6792	357
95	6862	285
96	6947	214
97	7033	143
98	7069	71
99	7102	0
