iter	MultiClass
0	1.479562195
1	1.380380831
2	1.300217707
3	1.224915756
4	1.159338342
5	1.108170143
6	1.05934961
7	1.016319509
8	0.9774017771
9	0.9384312318
10	0.9069103669
11	0.870362564
12	0.838617561
13	0.8138128078
14	0.790848827
15	0.76561686
16	0.7427776776
17	0.7193678146
18	0.6967008079
19	0.6796268404
20	0.6612997717
21	0.64721475
22	0.6332281593
23	0.6192691451
24	0.6077316329
25	0.5970524836
26	0.5843797118
27	0.5729247001
28	0.5622343785
29	0.5505749105
30	0.5389549585
31	0.5293225518
32	0.5210789126
33	0.5123631152
34	0.5031847847
35	0.4927083511
36	0.4873224726
37	0.4785159628
38	0.4694609249
39	0.4620067722
40	0.4552133005
41	0.4490440076
42	0.4429274848
43	0.4367483036
44	0.4325111678
45	0.428713052
46	0.4228297136
47	0.4165719152
48	0.4128470307
49	0.4084538127
50	0.4020733703
51	0.3964890557
52	0.3922760951
53	0.3884115142
54	0.3836920516
55	0.3782803128
56	0.3743995764
57	0.3694134187
58	0.3644108879
59	0.3612739634
60	0.3573973281
61	0.3539284677
62	0.3493947026
63	0.3460689633
64	0.3409966703
65	0.338868811
66	0.3350465135
67	0.3317859486
68	0.3291027298
69	0.3263178966
70	0.3234445611
71	0.3200490814
72	0.3175017102
73	0.3158678451
74	0.3125012482
75	0.3084330725
76	0.306003342
77	0.3034041512
78	0.3006602788
79	0.298544593
80	0.2970623897
81	0.2951198667
82	0.292878445
83	0.2907704035
84	0.2887269107
85	0.2859835619
86	0.2829720017
87	0.2811256757
88	0.2793423089
89	0.2772983117
90	0.2748882369
91	0.2735687912
92	0.2713373845
93	0.2695412929
94	0.2684876931
95	0.2664680508
96	0.2650283926
97	0.2625784531
98	0.2611230996
99	0.2593193945
100	0.2579178881
101	0.2570061754
102	0.2559122056
103	0.2540611752
104	0.2519433272
105	0.2507828915
106	0.2477998146
107	0.2464864275
108	0.2450485674
109	0.243620751
110	0.2418768052
111	0.2409156
112	0.2393740525
113	0.2379760796
114	0.2361409285
115	0.2345470872
116	0.2324471966
117	0.2303620682
118	0.2294893546
119	0.2284091324
120	0.2267231943
121	0.2251593294
122	0.2238473303
123	0.2221117365
124	0.2202393634
125	0.2188333413
126	0.2173858092
127	0.2156467638
128	0.2144039121
129	0.2133545887
130	0.2125537601
131	0.211049279
132	0.2090962792
133	0.2081806981
134	0.2068713819
135	0.2051038492
136	0.2037917885
137	0.20280854
138	0.2019772877
139	0.1998490544
140	0.198632583
141	0.1971502972
142	0.1953921151
143	0.1934749988
144	0.1930101776
145	0.1920269105
146	0.1910363698
147	0.1894319339
148	0.1885216556
149	0.1875505691
150	0.1860315081
151	0.185459744
152	0.1842303759
153	0.183441799
154	0.1822143996
155	0.1813756554
156	0.1809588027
157	0.180184763
158	0.1793676136
159	0.1791024475
160	0.1781039181
161	0.1773506171
162	0.1767459131
163	0.1757427783
164	0.1750970545
165	0.1744891294
166	0.1737602763
167	0.1730013191
168	0.1722580725
169	0.1716864062
170	0.1706363343
171	0.1703676516
172	0.1696057569
173	0.1689092671
174	0.1684048846
175	0.168208548
176	0.1674472758
177	0.1669974931
178	0.1657668279
179	0.1651245726
180	0.1648023373
181	0.1640915186
182	0.1634416498
183	0.162697554
184	0.1619731647
185	0.1613598361
186	0.1605185147
187	0.159318762
188	0.1577724831
189	0.1571153811
190	0.1567912426
191	0.1556064094
192	0.1548481323
193	0.1538721083
194	0.1534119614
195	0.1528053519
196	0.1521315892
197	0.1514009925
198	0.1508314457
199	0.150086628
200	0.1495110705
201	0.1491287638
202	0.1484550019
203	0.1482279426
204	0.1477718412
205	0.1475399454
206	0.1471449074
207	0.1469505828
208	0.1456834393
209	0.1453714924
210	0.1447719943
211	0.1442781042
212	0.1435139994
213	0.1429731324
214	0.1421758834
215	0.1416696275
216	0.1413442513
217	0.1408500803
218	0.1403648272
219	0.140149427
220	0.1396294802
221	0.1383450132
222	0.1379307826
223	0.1377473087
224	0.137174098
225	0.1367690041
226	0.1363765947
227	0.1361516874
