iter	Passed	Remaining
0	75	75629
1	163	81618
2	236	78699
3	338	84379
4	433	86363
5	552	91578
6	653	92655
7	752	93272
8	860	94732
9	978	96852
10	1096	98577
11	1199	98730
12	1346	102231
13	1439	101403
14	1546	101561
15	1644	101110
16	1760	101803
17	1847	100806
18	1963	101404
19	2059	100913
20	2159	100659
21	2257	100342
22	2357	100146
23	2440	99248
24	2549	99417
25	2636	98762
26	2737	98666
27	2829	98239
28	2940	98439
29	3018	97587
30	3146	98354
31	3237	97929
32	3340	97882
33	3443	97823
34	3538	97561
35	3629	97198
36	3738	97305
37	3828	96915
38	3930	96839
39	4035	96844
40	4136	96755
41	4239	96697
42	4343	96664
43	4434	96354
44	4531	96162
45	4631	96056
46	4723	95783
47	4817	95554
48	4916	95419
49	5005	95103
50	5099	94883
51	5202	94851
52	5324	95136
53	5614	98359
54	5925	101816
55	6151	103693
56	6316	104493
57	6442	104637
58	6568	104755
59	6702	104999
60	6802	104718
61	6901	104416
62	6994	104031
63	7093	103747
64	7184	103350
65	7289	103163
66	7374	102687
67	7499	102787
68	7596	102499
69	7705	102378
70	7791	101943
71	7885	101633
72	7975	101276
73	8057	100830
74	8131	100283
75	8222	99967
76	8306	99575
77	8377	99029
78	8461	98643
79	8536	98170
80	8610	97691
81	8697	97367
82	8774	96941
83	8873	96763
84	8956	96412
85	9049	96180
86	9120	95708
87	9204	95389
88	9296	95158
89	9377	94815
90	9476	94660
91	9548	94237
92	9626	93885
93	9702	93513
94	9783	93199
95	9868	92923
96	9954	92671
97	10036	92380
98	10109	92002
99	10213	91923
100	10323	91888
101	10410	91650
102	10504	91483
103	10613	91435
104	10719	91372
105	10818	91246
106	10923	91162
107	11049	91262
108	11134	91019
109	11232	90881
110	11305	90548
111	11382	90246
112	11455	89924
113	11529	89605
114	11608	89336
115	11685	89055
116	11803	89082
117	11894	88909
118	11981	88702
119	12060	88442
120	12133	88142
121	12216	87921
122	12295	87664
123	12380	87463
124	12473	87314
125	12571	87204
126	12658	87017
127	12738	86783
128	12830	86630
129	12906	86377
130	13012	86322
131	13114	86240
132	13254	86402
133	13376	86448
134	13472	86323
135	13583	86292
136	13674	86138
137	13788	86126
138	13901	86111
139	14027	86170
140	14133	86106
141	14261	86170
142	14355	86032
143	14472	86030
144	14580	85974
145	14673	85831
146	14749	85588
147	14829	85372
148	14909	85151
149	14991	84954
150	15086	84826
151	15190	84749
152	15287	84629
153	15377	84478
154	15476	84373
155	15557	84172
156	15662	84097
157	15745	83909
158	15835	83758
159	15924	83603
160	16012	83446
161	16088	83224
162	16170	83032
163	16268	82932
164	16360	82795
165	16446	82630
166	16538	82495
167	16631	82364
168	16726	82245
169	16827	82158
170	16896	81914
171	16999	81836
172	17081	81653
173	17178	81547
174	17283	81480
175	17384	81389
176	17452	81148
177	17545	81023
178	17621	80822
179	17695	80614
180	17789	80495
181	17881	80366
182	17966	80212
183	18043	80019
184	18125	79848
185	18209	79691
186	18295	79541
187	18387	79416
188	18462	79223
