iter	Passed	Remaining
0	53	5261
1	96	4708
2	128	4164
3	164	3943
4	198	3764
5	231	3620
6	265	3523
7	301	3465
8	334	3377
9	368	3314
10	406	3290
11	439	3223
12	480	3217
13	514	3161
14	551	3127
15	583	3064
16	615	3007
17	654	2983
18	696	2971
19	734	2938
20	773	2911
21	812	2880
22	850	2848
23	892	2826
24	924	2774
25	956	2723
26	988	2672
27	1019	2621
28	1051	2573
29	1091	2546
30	1123	2500
31	1154	2453
32	1186	2408
33	1218	2364
34	1250	2322
35	1289	2291
36	1320	2248
37	1352	2206
38	1385	2166
39	1418	2128
40	1452	2089
41	1492	2060
42	1526	2023
43	1562	1988
44	1597	1952
45	1632	1916
46	1696	1912
47	1727	1871
48	1761	1833
49	1799	1799
50	1838	1766
51	1884	1739
52	1920	1702
53	1952	1663
54	1984	1623
55	2018	1585
56	2061	1554
57	2096	1518
58	2134	1483
59	2172	1448
60	2212	1414
61	2256	1382
62	2292	1346
63	2326	1308
64	2359	1270
65	2391	1231
66	2424	1194
67	2462	1158
68	2501	1123
69	2541	1089
70	2580	1053
71	2620	1019
72	2664	985
73	2699	948
74	2735	911
75	2765	873
76	2799	836
77	2831	798
78	2867	762
79	2908	727
80	2946	691
81	2983	654
82	3023	619
83	3068	584
84	3104	547
85	3135	510
86	3167	473
87	3200	436
88	3238	400
89	3275	363
90	3309	327
91	3342	290
92	3378	254
93	3412	217
94	3458	182
95	3498	145
96	3536	109
97	3576	72
98	3606	36
99	3643	0
