,0
Unnamed: 0,0.0
id,0.0
time,0.0
activityrecognition#0,100.0
activityrecognition#1,0.0
android.sensor.accelerometer#mean,0.0
android.sensor.accelerometer#min,0.0
android.sensor.accelerometer#max,0.0
android.sensor.accelerometer#std,0.0
android.sensor.game_rotation_vector#mean,13.56
android.sensor.game_rotation_vector#min,13.56
android.sensor.game_rotation_vector#max,13.56
android.sensor.game_rotation_vector#std,13.58
android.sensor.gravity#mean,8.43
android.sensor.gravity#min,8.43
android.sensor.gravity#max,8.43
android.sensor.gravity#std,9.11
android.sensor.gyroscope#mean,12.22
android.sensor.gyroscope#min,12.22
android.sensor.gyroscope#max,12.22
android.sensor.gyroscope#std,12.23
android.sensor.gyroscope_uncalibrated#mean,13.56
android.sensor.gyroscope_uncalibrated#min,13.56
android.sensor.gyroscope_uncalibrated#max,13.56
android.sensor.gyroscope_uncalibrated#std,13.56
android.sensor.light#mean,25.66
android.sensor.light#min,25.66
android.sensor.light#max,25.66
android.sensor.light#std,63.959999999999994
android.sensor.linear_acceleration#mean,8.38
android.sensor.linear_acceleration#min,8.38
android.sensor.linear_acceleration#max,8.38
android.sensor.linear_acceleration#std,8.870000000000001
android.sensor.magnetic_field#mean,8.37
android.sensor.magnetic_field#min,8.37
android.sensor.magnetic_field#max,8.37
android.sensor.magnetic_field#std,8.649999999999999
android.sensor.magnetic_field_uncalibrated#mean,13.56
android.sensor.magnetic_field_uncalibrated#min,13.56
android.sensor.magnetic_field_uncalibrated#max,13.56
android.sensor.magnetic_field_uncalibrated#std,13.68
android.sensor.orientation#mean,8.43
android.sensor.orientation#min,8.43
android.sensor.orientation#max,8.43
android.sensor.orientation#std,8.82
android.sensor.pressure#mean,67.45
android.sensor.pressure#min,67.45
android.sensor.pressure#max,67.45
android.sensor.pressure#std,80.86
android.sensor.proximity#mean,81.01
android.sensor.proximity#min,81.01
android.sensor.proximity#max,81.01
android.sensor.proximity#std,95.19999999999999
android.sensor.rotation_vector#mean,12.23
android.sensor.rotation_vector#min,12.23
android.sensor.rotation_vector#max,12.23
android.sensor.rotation_vector#std,12.389999999999999
android.sensor.step_counter#mean,74.77000000000001
android.sensor.step_counter#min,74.77000000000001
android.sensor.step_counter#max,74.77000000000001
android.sensor.step_counter#std,96.06
sound#mean,16.869999999999997
sound#min,16.869999999999997
sound#max,16.869999999999997
sound#std,31.069999999999997
speed#mean,40.27
speed#min,40.27
speed#max,40.27
speed#std,77.63
target,0.0
user,0.0
